code,date,open,low,close,high
USDCNY.IB,2019/7/2 12:33,12107,778,93873,5252
USDCNY.IB,2019/7/2 12:43,12868,761,98476,4603
USDCNY.IB,2019/7/2 12:49,13729,861,103093,4617
USDCNY.IB,2019/7/2 12:51,14576,847,108692,5599
USDCNY.IB,2019/7/2 12:59,15464,888,114217,5525
USDCNY.IB,2019/7/2 13:13,16060,596,120067,5850
USDCNY.IB,2019/7/2 13:20,16509,449,124743,4676
USDCNY.IB,2019/7/2 13:24,17337,828,129044,4301
USDCNY.IB,2019/7/2 13:30,18100,763,133495,4451
USDCNY.IB,2019/7/2 13:34,18738,638,138078,4583
USDCNY.IB,2019/7/2 13:40,19506,768,143464,5386
USDCNY.IB,2019/7/2 13:45,20319,813,148377,4913
USDCNY.IB,2019/7/2 13:50,20732,413,152840,4463
USDCNY.IB,2019/7/2 13:54,21092,360,157149,4309
USDCNY.IB,2019/7/2 13:59,21678,586,161145,3996
USDCNY.IB,2019/7/2 14:05,21678,0,161145,0
USDCNY.IB,2019/7/2 14:10,26771,5093,171253,10108
USDCNY.IB,2019/7/2 14:15,27510,739,177454,6201
USDCNY.IB,2019/7/2 14:20,28131,621,182260,4806
USDCNY.IB,2019/7/2 14:25,28446,315,186599,4339
USDCNY.IB,2019/7/2 14:30,28734,288,190584,3985
USDCNY.IB,2019/7/2 14:34,29427,693,194990,4406
USDCNY.IB,2019/7/2 14:40,30076,649,201101,6111
USDCNY.IB,2019/7/2 14:45,30615,539,206715,5614
USDCNY.IB,2019/7/2 14:50,31241,626,211364,4649
USDCNY.IB,2019/7/2 14:55,31587,346,215260,3896
USDCNY.IB,2019/7/2 15:00,31855,268,219183,3923
USDCNY.IB,2019/7/2 15:05,32065,210,223060,3877
USDCNY.IB,2019/7/2 15:09,32692,627,226463,3403
USDCNY.IB,2019/7/2 15:15,33186,494,229705,3242
USDCNY.IB,2019/7/2 15:19,33614,428,233151,3446
USDCNY.IB,2019/7/2 15:25,33998,384,236711,3560
USDCNY.IB,2019/7/2 15:29,34466,468,240161,3450
USDCNY.IB,2019/7/2 15:35,34636,170,243695,3534
USDCNY.IB,2019/7/2 15:40,34796,160,246406,2711
USDCNY.IB,2019/7/2 15:45,35341,545,248818,2412
USDCNY.IB,2019/7/2 15:50,35704,363,248822,4
USDCNY.IB,2019/7/2 15:55,36042,338,250908,2086
USDCNY.IB,2019/7/2 15:59,36393,351,254195,3287
USDCNY.IB,2019/7/2 16:05,36675,282,257154,2959
USDCNY.IB,2019/7/2 16:10,36793,118,259559,2405
USDCNY.IB,2019/7/2 16:15,36914,121,261184,1625
USDCNY.IB,2019/7/2 16:20,37048,134,265227,4043
USDCNY.IB,2019/7/2 16:25,37460,412,267240,2013
USDCNY.IB,2019/7/2 16:30,37837,377,269127,1887
USDCNY.IB,2019/7/2 16:35,38161,324,271222,2095
USDCNY.IB,2019/7/2 16:40,38376,215,272826,1604
USDCNY.IB,2019/7/2 16:44,38489,113,274762,1936
USDCNY.IB,2019/7/2 16:50,39045,556,276332,1570
USDCNY.IB,2019/7/2 16:55,39369,324,277985,1653
USDCNY.IB,2019/7/2 16:59,39728,359,279856,1871
USDCNY.IB,2019/7/2 17:05,39904,176,281661,1805
USDCNY.IB,2019/7/2 17:08,40261,357,283311,1650
USDCNY.IB,2019/7/2 17:15,40465,204,284868,1557
USDCNY.IB,2019/7/2 17:20,40542,77,286194,1326
USDCNY.IB,2019/7/2 17:25,40597,55,287399,1205
USDCNY.IB,2019/7/2 17:30,40883,286,289140,1741
USDCNY.IB,2019/7/2 17:35,41128,245,290143,1003
USDCNY.IB,2019/7/2 17:40,41279,151,291409,1266
USDCNY.IB,2019/7/2 17:43,41481,202,292950,1541
USDCNY.IB,2019/7/2 17:50,41662,181,294375,1425
USDCNY.IB,2019/7/2 17:58,41698,36,295889,1514
USDCNY.IB,2019/7/2 18:05,41736,38,296857,968
USDCNY.IB,2019/7/2 18:07,41969,233,298136,1279
USDCNY.IB,2019/7/2 18:11,42153,184,299251,1115
USDCNY.IB,2019/7/2 18:24,42288,135,300469,1218
USDCNY.IB,2019/7/2 18:35,42461,173,301815,1346
USDCNY.IB,2019/7/2 18:36,42589,128,303110,1295
USDCNY.IB,2019/7/2 20:03,42632,43,304331,1221
USDCNY.IB,2019/7/2 20:10,42647,15,305289,958
USDCNY.IB,2019/7/2 20:14,42927,280,306210,921
USDCNY.IB,2019/7/2 20:40,43081,154,306862,652
USDCNY.IB,2019/7/2 20:53,43230,149,307980,1118
USDCNY.IB,2019/7/2 20:59,43414,184,309360,1380
USDCNY.IB,2019/7/2 21:26,43514,100,310250,890
USDCNY.IB,2019/7/2 21:34,43550,36,311151,901
USDCNY.IB,2019/7/2 21:38,43575,25,311965,814
USDCNY.IB,2019/7/2 21:44,43730,155,312654,689
USDCNY.IB,2019/7/2 22:04,43906,176,313483,829
